Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Battle at Lake Changjin,"$874,100,000",-,-,"$874,100,000",100%
2,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
3,F9: The Fast Saga,"$721,077,945","$173,005,945",24%,"$548,072,000",76%
4,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
5,No Time to Die,"$669,984,013","$145,856,013",21.8%,"$524,128,000",78.2%
6,Godzilla vs. Kong,"$467,863,133","$100,563,133",21.5%,"$367,300,000",78.5%
7,Shang-Chi and the Legend of the Ten Rings,"$430,355,828","$224,274,148",52.1%,"$206,081,680",47.9%
8,Venom: Let There Be Carnage,"$427,337,190","$199,737,190",46.7%,"$227,600,000",53.3%
9,Black Widow,"$379,631,351","$183,651,655",48.4%,"$195,979,696",51.6%
10,Dune,"$336,246,283","$89,246,283",26.5%,"$247,000,000",73.5%
11,Free Guy,"$331,333,018","$121,542,077",36.7%,"$209,790,941",63.3%
12,A Quiet Place Part II,"$297,713,818","$160,072,261",53.8%,"$137,641,557",46.2%
13,Cruella,"$233,274,812","$86,103,234",36.9%,"$147,171,578",63.1%
14,"My Country, My Parents","$221,675,153","$144,129",<0.1%,"$221,531,024",99.9%
15,Jungle Cruise,"$213,783,089","$116,962,494",54.7%,"$96,820,595",45.3%
16,Raging Fire,"$205,832,772","$385,305",0.2%,"$205,447,467",99.8%
17,The Conjuring: The Devil Made Me Do It,"$201,965,074","$65,565,074",32.5%,"$136,400,000",67.5%
18,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
19,Eternals,"$189,184,560","$99,084,255",52.4%,"$90,100,305",47.6%
20,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
21,The Suicide Squad,"$167,400,219","$55,800,219",33.3%,"$111,600,000",66.7%
22,Space Jam: A New Legacy,"$162,828,072","$70,528,072",43.3%,"$92,300,000",56.7%
23,Peter Rabbit 2: The Runaway,"$153,736,536","$40,336,536",26.2%,"$113,400,000",73.8%
24,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
25,Tom and Jerry,"$132,841,123","$46,041,123",34.7%,"$86,800,000",65.3%
26,Raya and the Last Dragon,"$130,281,158","$54,723,032",42%,"$75,558,126",58%
27,PAW Patrol: The Movie,"$129,630,429","$40,127,371",31%,"$89,503,058",69%
28,Sister,"$128,317,206",-,-,"$128,317,206",100%
29,The Boss Baby: Family Business,"$128,141,280","$57,300,280",44.7%,"$70,841,000",55.3%
